지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),현상번호(국내식),지면온도(°C),10cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2020-06-01 00:00,17.6,.8,2.5,290,92,18.4,1000.4,1010.4,,,,10,9,StNs,,1901,18.3,22.7,21.9
108,서울,2020-06-01 01:00,17.7,.3,2.9,290,91,18.4,1000.2,1010.2,,,,10,9,StNs,3,1901,18,22.5,21.9
108,서울,2020-06-01 02:00,17.5,0,3.2,290,91,18.2,999.9,1009.9,,,,10,9,StNs,4,01,17.8,22.3,21.8
108,서울,2020-06-01 03:00,17.1,,3.2,290,91,17.7,999.7,1009.7,,,,10,10,St,3,19,17.5,22.1,21.7
108,서울,2020-06-01 04:00,17,0,3.3,290,92,17.7,999.8,1009.8,,,,10,10,St,3,1902,17.4,21.9,21.6
108,서울,2020-06-01 05:00,16.9,0,3.4,270,93,17.8,999.5,1009.5,,,,10,10,St,2,1902,17.3,21.8,21.5
108,서울,2020-06-01 06:00,16.7,.1,3.4,290,90,17,999.8,1009.8,0,.04,,4,4,Sc,5,1902,16.7,21.6,21.4
108,서울,2020-06-01 07:00,16.9,,2.3,290,86,16.5,1000,1010,.1,.32,,8,8,Sc,5,,18.4,21.4,21.3
108,서울,2020-06-01 08:00,17.8,,3.3,290,80,16.2,1000.2,1010.2,.3,.85,,7,7,Sc,5,,21.4,21.3,21.2
108,서울,2020-06-01 09:00,19.3,,2.1,320,73,16.3,1000.2,1010.1,.7,1.71,,2,2,Sc,13,,27.6,21.2,21.1
108,서울,2020-06-01 10:00,20.5,,3.4,270,62,14.9,999.9,1009.8,1,2.65,,1,1,Sc,12,,31.1,21.2,21
108,서울,2020-06-01 11:00,22.1,,3.6,290,52,13.7,999.6,1009.4,1,3.29,,1,1,Sc,14,,37.1,21.2,20.9
108,서울,2020-06-01 12:00,23.1,,4,290,49,13.7,999.8,1009.6,1,3.59,,2,2,Sc,15,,41.3,21.4,20.9
108,서울,2020-06-01 13:00,23.1,,5.1,290,42,11.8,999.4,1009.2,1,3.78,,1,1,Sc,10,,43.9,21.7,21
108,서울,2020-06-01 14:00,23.6,,5.1,290,39,11.3,999.3,1009,1,3.66,,2,0,Ci,,,44.6,22.1,21
108,서울,2020-06-01 15:00,23.8,,5.5,270,40,11.7,999,1008.7,1,3.3,,2,0,Ci,,,43.7,22.5,21.2
108,서울,2020-06-01 16:00,24.4,,3,270,39,11.9,998.8,1008.5,1,2.78,,3,0,Ci,,,42,22.6,21.1
108,서울,2020-06-01 17:00,23.6,,4.4,270,41,11.9,998.8,1008.5,1,2.15,,1,0,Ci,,,36.9,23.3,21.6
108,서울,2020-06-01 18:00,22.7,,4.1,320,42,11.6,998.7,1008.5,1,1.43,,0,0,,,,30.7,25.2,21.8
108,서울,2020-06-01 19:00,21.3,,4.2,290,44,11.1,999.1,1009,1,.68,,0,0,,,,22.7,23.8,22
108,서울,2020-06-01 20:00,19.8,,2.5,290,51,11.7,999.9,1009.9,.4,.12,,0,0,,,,19.4,23.9,22.2
108,서울,2020-06-01 21:00,18.6,,2.5,290,55,11.7,999.8,1009.7,,,,4,0,Ci,,,17.7,23.8,22.3
108,서울,2020-06-01 22:00,17.9,,2,290,62,12.7,1000.4,1010.4,,,,2,0,,,,16.6,23.6,22.4
108,서울,2020-06-01 23:00,17.2,,2,290,68,13.3,1000.3,1010.3,,,,6,0,,,,15.7,23.4,22.4
108,서울,2020-06-02 00:00,16.6,,1.6,270,74,13.9,1000.4,1010.4,,,,6,0,Ci,,,15.6,23.1,22.3
108,서울,2020-06-02 01:00,16.2,,.8,270,77,14.1,999.8,1009.9,,,,9,0,,,19,15.1,22.9,22.3
108,서울,2020-06-02 02:00,15.9,,1.1,180,78,14,999.9,1010,,,,8,8,,68,19,15,22.6,22.2
108,서울,2020-06-02 03:00,15.7,,.4,0,78,13.8,1000.1,1010.2,,,,8,0,Ci,,19,14.7,22.3,22
108,서울,2020-06-02 04:00,15.5,,.9,50,79,13.8,999.2,1009.3,,,,8,0,Ci,,,14.1,22,21.9
108,서울,2020-06-02 05:00,14.8,,1.3,160,79,13.2,999.5,1009.6,,,,6,0,Ci,,,13.5,21.8,21.7
108,서울,2020-06-02 06:00,15,,2.2,70,79,13.4,999.4,1009.5,0,.03,,9,4,AcCi,35,,14.9,21.6,21.6
108,서울,2020-06-02 07:00,15.5,,1.4,70,77,13.5,1000.5,1010.6,0,.13,,9,6,AcCi,35,,16.2,21.3,21.5
108,서울,2020-06-02 08:00,16,,2.2,50,75,13.6,1000.8,1010.9,0,.14,,10,7,ScAs,10,,16.8,21.1,21.3
108,서울,2020-06-02 09:00,16.9,,2.5,70,71,13.6,1000.3,1010.3,0,.36,,10,10,As,27,,19.2,21,21.2
108,서울,2020-06-02 10:00,17.3,,2.5,200,65,12.8,1000.2,1010.2,0,.38,,10,10,As,31,,19.3,20.8,21
108,서울,2020-06-02 11:00,17.5,0,2.6,320,70,13.9,1000.7,1010.7,0,.37,,10,6,ScAs,18,01,18.6,20.7,20.9
108,서울,2020-06-02 12:00,16.3,1.9,2.9,140,80,14.8,996.9,1006.9,0,.34,,10,5,ScAs,10,01,18.2,20.7,20.8
108,서울,2020-06-02 13:00,17.5,,2.2,90,68,13.6,995.7,1005.6,0,.54,,10,5,ScAs,15,,19.8,20.7,20.7
108,서울,2020-06-02 14:00,20.4,,3.1,180,51,12.2,995.6,1005.5,.1,1.63,,9,4,ScAc,18,,22.8,20.6,20.7
108,서울,2020-06-02 15:00,20.9,,2.2,180,48,11.8,995.4,1005.2,0,.56,,9,2,ScAc,15,,22.1,20.6,20.6
108,서울,2020-06-02 16:00,21.7,,2.5,250,46,11.9,995.1,1004.9,.1,.95,,9,4,ScAc,14,,20.4,20.5,20.2
108,서울,2020-06-02 17:00,21.2,,3.3,270,55,13.7,995,1004.8,0,.27,,9,9,Sc,11,,18.9,20.7,20.5
108,서울,2020-06-02 18:00,20.6,0,2.4,270,58,14,995.1,1005,0,.12,,10,7,ScAs,11,01,18.1,20.8,20.5
108,서울,2020-06-02 19:00,20.3,,2.9,290,61,14.5,995.6,1005.5,0,.05,,9,9,,10,,17.5,20.8,20.5
108,서울,2020-06-02 20:00,19.9,,3.1,290,65,15.1,995.8,1005.7,0,.02,,6,6,,8,,17.1,20.8,20.5
108,서울,2020-06-02 21:00,19.6,,2.7,250,70,15.9,996,1005.8,,,,8,8,Sc,7,,17.3,20.7,20.5
108,서울,2020-06-02 22:00,19.3,,2.2,290,74,16.5,996.1,1005.9,,,,9,9,,6,,17.4,20.6,20.5
108,서울,2020-06-02 23:00,19,,1.7,320,79,17.3,996.1,1006,,,,9,9,,5,19,17.6,20.6,20.5
108,서울,2020-06-03 00:00,18.4,.1,1.7,290,84,17.7,995.7,1005.6,,,,10,7,ScAs,,1901,17.6,20.5,20.4
108,서울,2020-06-03 01:00,18.3,,2,290,86,18.1,995.7,1005.6,,,,8,8,,3,19,17.5,20.4,20.4
108,서울,2020-06-03 02:00,18.2,,1.8,290,89,18.5,995.4,1005.3,,,,7,7,,2,19,17.5,20.3,20.3
108,서울,2020-06-03 03:00,18.2,,1.3,320,89,18.5,995.6,1005.5,,,,10,10,St,3,19,17.6,20.3,20.3
108,서울,2020-06-03 04:00,18.1,,1.5,290,87,17.9,995.5,1005.4,,,,10,10,St,4,19,17.1,20.2,20.2
108,서울,2020-06-03 05:00,18.1,,1.3,320,88,18.2,995.3,1005.2,,,,8,8,Sc,10,19,16.7,20.2,20.2
108,서울,2020-06-03 06:00,17.6,,.4,0,89,17.8,994.9,1004.8,0,.07,,6,6,Sc,9,19,16.4,20.1,20.1
108,서울,2020-06-03 07:00,18.3,,1.8,70,88,18.4,994.9,1004.8,.3,.41,,6,3,ScCi,10,19,20,20,20.1
108,서울,2020-06-03 08:00,19.7,,2,90,82,18.8,995.2,1005,.9,1.01,,6,2,ScCi,10,19,23,19.9,20
108,서울,2020-06-03 09:00,20.8,,.8,50,76,18.6,995.3,1005.2,.4,1.27,,7,7,Sc,6,19,24,19.9,20
108,서울,2020-06-03 10:00,22,,1.4,200,73,19.2,995.3,1005.1,.2,1.28,,8,8,Sc,7,19,27.6,20,19.9
108,서울,2020-06-03 11:00,23.1,,2.2,200,68,19.1,994.8,1004.5,.3,1.68,,7,7,Sc,8,4019,29.6,20.1,19.9
108,서울,2020-06-03 12:00,24.4,,2.6,250,58,17.6,994.5,1004.1,.6,2.41,,6,3,ScCi,10,40,36.1,20.4,19.9
